name,country,sector,total_score,maturity_level,social_media,website,visual_content,discoverability,digital_sales,platform_integration
AFRIFF – Africa Int’l Film Festival (Lagos),Nigeria,"Audiovisual (film, photography, TV, videography)",27.0,Intermediate,7.0,9.0,4.0,1.0,4.0,2.0
Soundcity TV (Lagos),Nigeria,"Audiovisual (film, photography, TV, videography)",26.0,Intermediate,9.0,9.0,3.0,1.0,3.0,1.0
EbonyLife Media (Lagos),Nigeria,"Audiovisual (film, photography, TV, videography)",23.0,Emerging,7.0,9.0,3.0,1.0,2.0,1.0
Silverbird Group (Lagos),Nigeria,"Audiovisual (film, photography, TV, videography)",25.0,Intermediate,6.0,9.0,3.0,1.0,4.0,2.0
"Filmhouse Cinemas (Lekki IMAX, Lagos)",Nigeria,"Audiovisual (film, photography, TV, videography)",28.0,Intermediate,9.0,9.0,4.0,1.0,4.0,1.0
BellaNaija (digital magazine),Nigeria,Marketing/advertising/publishing,26.0,Intermediate,8.0,8.0,5.0,1.0,3.0,1.0
"X3M Ideas (agency, Lagos)",Nigeria,Marketing/advertising/publishing,22.0,Emerging,7.0,9.0,3.0,1.0,1.0,1.0
Insight Redefini (Publicis Nigeria),Nigeria,Marketing/advertising/publishing,25.0,Intermediate,9.0,9.0,3.0,1.0,2.0,1.0
The Guardian Nigeria,Nigeria,Marketing/advertising/publishing,27.0,Intermediate,6.0,6.0,3.0,7.0,2.0,3.0
Pulse Nigeria (digital media),Nigeria,Marketing/advertising/publishing,24.0,Intermediate,8.0,9.0,3.0,1.0,2.0,1.0
Musée Historique d’Abomey,Benin,Cultural heritage sites/museums,2.0,Absent/Basic,2.0,0.0,0.0,0.0,0.0,0.0
Palais des Rois d’Abomey (Royal Palaces),Benin,Cultural heritage sites/museums,4.0,Absent/Basic,1.0,0.0,0.0,2.0,0.0,1.0
Ouidah Museum of History (Portuguese Fort),Benin,Cultural heritage sites/museums,7.0,Absent/Basic,2.0,0.0,1.0,3.0,0.0,1.0
Musée de la Fondation Zinsou (Ouidah),Benin,Cultural heritage sites/museums,32.0,Intermediate,9.0,9.0,3.0,6.0,2.0,3.0
Musée Ethnographique de Porto-Novo,Benin,Cultural heritage sites/museums,4.0,Absent/Basic,0.0,0.0,0.0,3.0,0.0,1.0
Cotonou Artisanal Center (Marché des Arts),Benin,Crafts and artisan products,3.0,Absent/Basic,1.0,0.0,0.0,1.0,0.0,1.0
Centre de Promotion de l'Artisanat (CPA),Benin,Crafts and artisan products,0.0,Absent/Basic,0.0,0.0,0.0,0.0,0.0,0.0
Espace Tissage Djougou (ETD),Benin,Crafts and artisan products,6.0,Absent/Basic,4.0,0.0,2.0,0.0,0.0,0.0
CMA-Bénin – Chambre des Métiers et de l’Artisanat,Benin,Crafts and artisan products,25.0,Intermediate,7.0,9.0,2.0,1.0,4.0,2.0
Marché Dantokpa,Benin,Crafts and artisan products,16.0,Emerging,0.0,7.0,2.0,2.0,3.0,2.0
Vodun Days Festival (Ouidah),Benin,Festivals and cultural events,24.0,Intermediate,7.0,9.0,1.0,1.0,4.0,2.0
Ganvié Festival (Lake Nokoué),Benin,Festivals and cultural events,20.0,Emerging,7.0,7.0,2.0,1.0,2.0,1.0
Benin International Dance Fest (BIDAF),Benin,Festivals and cultural events,3.0,Absent/Basic,3.0,0.0,0.0,0.0,0.0,0.0
WeLovEya,Benin,Festivals and cultural events,24.0,Intermediate,7.0,9.0,1.0,1.0,4.0,2.0
Festival of Masks (Porto-Novo),Benin,Festivals and cultural events,25.0,Intermediate,8.0,9.0,2.0,1.0,3.0,2.0
Espace Culturel Le Centre (Abomey-Calavi),Benin,Performing and visual arts,27.0,Intermediate,7.0,9.0,2.0,5.0,1.0,3.0
Musée Royal Honmé (Porto-Novo Royal Palace),Benin,Performing and visual arts,3.0,Absent/Basic,1.0,0.0,0.0,1.0,0.0,1.0
Atelier Théâtre Burkinabé (Cotonou),Benin,Performing and visual arts,3.0,Absent/Basic,3.0,0.0,0.0,0.0,0.0,0.0
Institut Français du Bénin (Cotonou),Benin,Performing and visual arts,27.0,Intermediate,7.0,9.0,3.0,1.0,5.0,2.0
Fondation Centre Songhaï,Benin,Performing and visual arts,12.0,Emerging,6.0,3.0,0.0,0.0,2.0,1.0
Orchestre Poly-Rythmo de Cotonou,Benin,"Music (artists, production, venues, education)",15.0,Emerging,6.0,6.0,0.0,1.0,1.0,1.0
Angélique Kidjo,Benin,"Music (artists, production, venues, education)",20.0,Emerging,6.0,8.0,1.0,1.0,3.0,1.0
AFRICA NATION Radio/TV (Cotonou),Benin,"Music (artists, production, venues, education)",14.0,Emerging,3.0,7.0,1.0,1.0,1.0,1.0
Conservatoire Danses Cérémonielles Royales Bénin,Benin,"Music (artists, production, venues, education)",4.0,Absent/Basic,4.0,0.0,0.0,0.0,0.0,0.0
Benin Jazz Festival (Cotonou),Benin,"Music (artists, production, venues, education)",0.0,Absent/Basic,0.0,0.0,0.0,0.0,0.0,0.0
Benin Fashion Week (Cotonou),Benin,Fashion & Design,8.0,Absent/Basic,7.0,0.0,1.0,0.0,0.0,0.0
ACMB – Association des Créateurs de Mode du Bénin,Benin,Fashion & Design,6.0,Absent/Basic,5.0,0.0,1.0,0.0,0.0,0.0
Woodin Benin,Benin,Fashion & Design,22.0,Emerging,6.0,9.0,3.0,1.0,2.0,1.0
Nana Wax,Benin,Fashion & Design,21.0,Emerging,6.0,9.0,2.0,1.0,2.0,1.0
Sunny Rose Fashion,Benin,Fashion & Design,5.0,Absent/Basic,5.0,0.0,0.0,0.0,0.0,0.0
ORTB – Bénin Télévision & Radio (SRTB),Benin,"Audiovisual (film, photography, TV, videography)",13.0,Emerging,5.0,4.0,1.0,1.0,1.0,1.0
Canal 3 Bénin,Benin,"Audiovisual (film, photography, TV, videography)",26.0,Intermediate,7.0,9.0,3.0,1.0,4.0,2.0
Golfe TV,Benin,"Audiovisual (film, photography, TV, videography)",3.0,Absent/Basic,3.0,0.0,0.0,0.0,0.0,0.0
Benin Web TV / OKTV,Benin,"Audiovisual (film, photography, TV, videography)",18.0,Emerging,4.0,8.0,2.0,1.0,2.0,1.0
Segbeya CINÉ - BÉNIN,Benin,"Audiovisual (film, photography, TV, videography)",10.0,Absent/Basic,9.0,0.0,0.0,0.0,0.0,1.0
La Nouvelle Tribune (Cotonou),Benin,Marketing/advertising/publishing,22.0,Emerging,7.0,9.0,1.0,1.0,3.0,1.0
Matin Libre / Le Progrès (press),Benin,Marketing/advertising/publishing,9.0,Absent/Basic,3.0,4.0,0.0,0.0,1.0,1.0
"Adjinankou Group (agency, Cotonou)",Benin,Marketing/advertising/publishing,21.0,Emerging,7.0,9.0,1.0,1.0,2.0,1.0
Benin Vies Magazine,Benin,Marketing/advertising/publishing,2.0,Absent/Basic,2.0,0.0,0.0,0.0,0.0,0.0
Banouto,Benin,Marketing/advertising/publishing,17.0,Emerging,4.0,8.0,1.0,1.0,3.0,0.0
National Museum of Ghana (Accra),Ghana,Cultural heritage sites/museums,32.0,Intermediate,7.0,9.0,2.0,6.0,4.0,4.0
"Osu Castle (Christiansborg, Accra)",Ghana,Cultural heritage sites/museums,6.0,Absent/Basic,2.0,0.0,0.0,2.0,0.0,2.0
Kwame Nkrumah Mausoleum & Memorial Park (Accra),Ghana,Cultural heritage sites/museums,32.0,Intermediate,7.0,9.0,2.0,6.0,4.0,4.0
